timestamp,buy_and_hold,long_short
2025-01-01,1.0,1.0
2025-01-02,1.0252982870181742,1.0
2025-01-03,1.0378721068574879,1.0122635724632698
2025-01-04,1.038362001433951,1.012741379344122
2025-01-05,1.039874817875295,1.0142168684388553
2025-01-06,1.0808085015420998,1.0541405513173767
2025-01-07,1.0249791260931973,0.9996887140756815
2025-01-08,1.0049563503298065,0.9801599817868349
2025-01-09,0.9784411499603876,0.9542990194648049
2025-01-10,1.0014199965366968,0.9767108842530876
2025-01-11,1.0000867940110651,0.9754105772668066
2025-01-12,0.9995061938785801,0.9748443029056413
2025-01-13,0.9994114710601703,0.9747519172851744
2025-01-14,1.020816502237298,0.995628799113758
2025-01-15,1.062432169053167,1.0362176378378507
2025-01-16,1.0570400514717029,1.0309585657709832
2025-01-17,1.1002802780537588,1.0731318797514537
2025-01-18,1.1053416057928076,1.078068323909347
2025-01-19,1.0712513286038172,1.0448191927827033
2025-01-20,1.0810664520743767,1.0543921371588265
2025-01-21,1.1221251994623633,1.094437797926871
2025-01-22,1.096360169985172,1.069308496724074
2025-01-23,1.098513528342526,1.0714087229554243
2025-01-24,1.1086640932224763,1.081308832034384
2025-01-25,1.1073568971849348,1.080033889850151
2025-01-26,1.0848723853172018,1.0581041625186796
2025-01-27,1.0791934563447265,1.0525653558666261
2025-01-28,1.0712930869891653,1.0448599208185119
2025-01-29,1.0966412726348946,1.0695826634258836
2025-01-30,1.1071040210893586,1.0797872532383685
2025-01-31,1.082858996838837,1.0561404525390012
2025-02-01,1.063894346844937,1.0376437377448566
2025-02-02,1.032865540747832,1.0073805387422088
2025-02-03,1.0712189790698512,1.0447876414435706
2025-02-04,1.0335268032803693,1.008025485233303
2025-02-05,1.021361898465173,0.9961607381941024
2025-02-06,1.020747785906978,0.995561778295339
2025-02-07,1.0202450995213324,0.9950714952313657
2025-02-08,1.0195891228603582,0.9944317041878422
2025-02-09,1.0197794142366279,0.9946173003003874
2025-02-10,1.030013601604706,1.0045989685599157
2025-02-11,1.0125426331970917,0.9875590801402986
2025-02-12,1.0346564997508239,1.0091273074881124
2025-02-13,1.0213163342522997,0.9961162982360432
2025-02-14,1.0307499235134385,1.0053171224065136
2025-02-15,1.031481488137764,1.006030636350298
2025-02-16,1.0161360744030823,0.9910638565078093
2025-02-17,1.0125616623347187,0.987577639751553
2025-02-18,1.0114170597064567,0.9864612791345945
2025-02-19,1.0216994542231894,0.9964899650759672
2025-02-20,1.0392553137281062,1.0136126499835698
2025-02-21,1.0168112916365462,0.9917224133804902
2025-02-22,1.020712476284937,0.9955273399055667
2025-02-23,1.0176148498315603,0.9925061445201873
2025-02-24,0.9678735298141127,0.9439921455725172
2025-02-25,0.9375063034018387,0.9143742023878177
2025-02-26,0.8906703098303043,0.8686938436429053
2025-02-27,0.895517242618756,0.8734211828473311
2025-02-28,0.891726004098876,0.8697234896317246
2025-03-01,0.9098522091454456,0.8874024473322053
2025-03-02,0.9965981187794541,0.9720079818701469
2025-03-03,0.9115079555538547,0.8890173397292503
2025-03-04,0.9227226720968776,0.8999553435131425
2025-03-05,0.9578633576828769,0.9342289651810352
2025-03-06,0.9507367342067145,0.9272781845483196
2025-03-07,0.9176456981780025,0.8950036392304404
2025-03-08,0.9115216988199186,0.8890307438929343
2025-03-09,0.8535041839787769,0.8324447575748734
2025-03-10,0.8308952426944497,0.810393671007588
2025-03-11,0.876746266958926,0.8551133636521769
2025-03-12,0.8846447334007246,0.8628169427391658
2025-03-13,0.8575351896327567,0.8363763018922866
2025-03-14,0.8878487115899499,0.8659418657296677
2025-03-15,0.8916043233354949,0.8696048112286475
2025-03-16,0.8729566142005151,0.851417217070842
2025-03-17,0.888132351458023,0.8662185070463113
2025-03-18,0.8744420498271624,0.852866000947159
2025-03-19,0.9181128635067443,0.8954592776867384
2025-03-20,0.8903879385714064,0.8684184396336788
2025-03-21,0.8889650876640652,0.8670306962565986
2025-03-22,0.8863411810201688,0.8644715320825049
2025-03-23,0.9100420776519903,0.8875876310089448
2025-03-24,0.9250080715258767,0.902184352824809
2025-03-25,0.9238950784095616,0.9010988217843232
2025-03-26,0.9187814205420386,0.89611133869548
2025-03-27,0.9221944020928668,0.8994401080829273
2025-03-28,0.8925128589397515,0.8704909295570988
2025-03-29,0.8737390289092773,0.8521803264202563
2025-03-30,0.8710059161588883,0.8495146506993521
2025-03-31,0.8726973950590633,0.8511643939219748
2025-04-01,0.9002722012420108,0.8780588172640269
2025-04-02,0.8723409158808514,0.8508167105378072
2025-04-03,0.879707412208545,0.8580014453812811
2025-04-04,0.8868621565214229,0.8649796529950728
2025-04-05,0.883142171550213,0.8613514552127196
2025-04-06,0.8291418133795558,0.8086835059394366
2025-04-07,0.8368934383093332,0.8162438666929116
2025-04-08,0.8068610190018626,0.7869524695573401
2025-04-09,0.8733868841457472,0.8518368705030968
2025-04-10,0.8415879265619064,0.8208225227893985
2025-04-11,0.881935301354938,0.8601743634233783
2025-04-12,0.9015255871070403,0.8792812769919904
2025-04-13,0.885489204241637,0.8636405770430603
2025-04-14,0.8942804543904344,0.8722149112247398
2025-04-15,0.8842627763215789,0.8624444100977074
2025-04-16,0.8883475921480704,0.8664284368713903
2025-04-17,0.8980475893359866,0.8758890955994237
2025-04-18,0.8930448290538564,0.8710097738006138
2025-04-19,0.899412189938703,0.8772200259442748
2025-04-20,0.9004930449559149,0.8782742118635308
2025-04-21,0.925198997206734,0.9023705675910629
2025-04-22,0.9878552872141745,0.9634808715882155
2025-04-23,0.990477925248896,0.9660387984548923
