timestamp,mean_reversion,buy_and_hold,long_short,long_only,trend_following
2025-01-01 08:20:00,0.0,0.0,0.0,0.0,0.0
2025-01-01 08:30:00,0.0,0.0007188916306160031,-0.0007188916306158921,0.0,0.0
2025-01-01 08:40:00,0.0,-0.0019969965113966204,-0.003430877719272085,-0.0027139371153344083,0.0
2025-01-01 08:50:00,0.0,-0.001391919332640601,-0.003290168741902022,-0.0023412107598512755,0.0
2025-01-01 09:00:00,0.0,-0.00178569868187628,-0.003966734343262779,-0.0028765181447967247,0.0
2025-01-01 09:10:00,0.0,-0.004393272689828143,-0.005058133006437759,-0.004725177039543116,0.0
2025-01-01 09:20:00,0.0,-0.005464678606839302,-0.005482311390187844,-0.0054728615785663015,0.0
2025-01-01 09:30:00,0.0,-0.006666021089946628,-0.006683632573889042,-0.006674194177106019,0.0
2025-01-01 09:40:00,0.0,-0.004284153563353987,-0.00430180727702234,-0.004292346248363943,0.0
2025-01-01 09:50:00,0.0,-0.0020554854749358364,-0.003982204260984501,-0.0030182183463850487,0.0
2025-01-01 10:00:00,0.0,-0.0011008967741431563,-0.003156297751809034,-0.0021280315221174906,0.0
2025-01-01 10:10:00,0.0,0.00011980611117601292,-0.004081984343238698,-0.0019816284123266303,0.0
2025-01-01 10:20:00,0.0,-0.00017193913321655874,-0.003988581075950237,-0.002080394403739194,0.0
2025-01-01 10:30:00,0.0,0.0014044088148847944,-0.0054967535594864225,-0.0020492558245237547,0.0
2025-01-01 10:40:00,0.0,0.0007909230957086066,-0.005153613026858905,-0.002182775759217326,0.0
2025-01-01 10:50:00,0.0,-0.00027398124670829915,-0.004639754437097077,-0.0024559492852233022,0.0
2025-01-01 11:00:00,0.0,0.0006638973488826139,-0.0051570448372022515,-0.0022472461420697254,0.0
2025-01-01 11:10:00,0.0,0.002773107447262335,-0.0030229595086618266,-0.00012554552399401953,0.0
2025-01-01 11:20:00,0.0,0.0041763106946473005,-0.0034274024620490895,0.00037121885152946454,0.0
2025-01-01 11:30:00,0.0,0.0034840254759778144,-0.0028108686827109652,0.00033582977495427713,0.0
2025-01-01 11:40:00,0.0,0.005214707899092286,-0.004530694467952512,0.00033582977495427713,0.0
2025-01-01 11:50:00,0.00019645446466154404,0.004634954274129743,-0.003956561465434771,0.00033582977495427713,0.0
2025-01-01 12:00:00,-0.00011262394153122024,0.00490939875096319,-0.004228658926536455,0.00033582977495427713,0.0
2025-01-01 12:10:00,-0.0005333142498162857,0.005194757339685552,-0.004511422631336193,0.00033582977495427713,0.0
2025-01-01 12:20:00,-0.002109260040931926,0.008368316561381484,-0.007654337903956865,0.00033582977495427713,0.0
2025-01-01 12:30:00,-0.0020620252186392962,0.008550826592741423,-0.007543621608519846,0.0004821617494263908,0.0
2025-01-01 12:40:00,-0.0009996070215593233,0.0061114171326102085,-0.005143140230308041,0.0004821617494263908,0.0
2025-01-01 12:50:00,-0.0024581944544399548,0.008045170243896171,-0.007055262004402096,0.0004821617494263908,0.0
2025-01-01 13:00:00,-0.002948570950632501,0.008059025661096175,-0.008192174053210044,-8.373368091263433e-05,0.0
2025-01-01 13:10:00,-0.002625326422558083,0.007243159004491906,-0.007389460209724086,-8.373368091263433e-05,0.0
2025-01-01 13:20:00,-0.001785677174542366,0.006928061116417306,-0.007675407288585068,-0.000384162422668366,0.0
2025-01-01 13:30:00,-0.001223634203880386,0.006748669922868489,-0.00673583430940472,3.1654202370390294e-08,0.0
2025-01-01 13:40:00,-0.0015111971480402664,0.007990617558064184,-0.0067527404207711195,0.0006083324559198466,0.0
2025-01-01 13:50:00,-0.001841631684940781,0.008397240201143852,-0.007109213219468891,0.0006305974430034222,0.0
2025-01-01 14:00:00,-0.0029177328523084523,0.010841348290960395,-0.009515737461632257,0.0006305974430034222,0.0
2025-01-01 14:10:00,-0.0022083138791468837,0.009444291453833964,-0.008811012935267204,0.00029509682357575784,0.0
2025-01-01 14:20:00,-0.001274133626471774,0.007206672050859897,-0.0066138597805587285,0.00029509682357575784,0.0
2025-01-01 14:30:00,-0.0014387542914956475,0.007584789938379188,-0.006597821831347828,0.0004909331679858742,0.0
2025-01-01 14:40:00,-0.0020258908712491586,0.009449636043520337,-0.0061144319261462465,0.0016602111848582624,0.0
2025-01-01 14:50:00,-0.0018130421736459734,0.009721459514075548,-0.005881066531264412,0.0019126696010245414,0.0
2025-01-01 15:00:00,-0.0015069602877137989,0.009263725662897127,-0.005430405724109466,0.0019126696010245414,0.0
2025-01-01 15:10:00,-0.001699604620879036,0.00897182646401884,-0.005142756361097733,0.0019126696010245414,0.0
2025-01-01 15:20:00,-0.002002287971437977,0.009171861043456575,-0.0053399926417472265,0.0019126696010245414,0.0
2025-01-01 15:30:00,-0.0014545515661267272,0.009380710329348396,-0.00438535634770898,0.0024971416546304415,0.0
2025-01-01 15:40:00,-0.00484785468883675,0.015052845030923745,-0.008988758052835832,0.002996256091313043,0.0
2025-01-01 15:50:00,-0.006599972627621575,0.016840001202945043,-0.010452006838357786,0.0031387479860467415,0.0
2025-01-01 16:00:00,-0.008391143949042501,0.01867343647417785,-0.012236232666505753,0.0031387479860467415,0.0
2025-01-01 16:10:00,-0.006319531651875598,0.01654528240927622,-0.010172653307953916,0.0031387479860467415,0.0
2025-01-01 16:20:00,-0.008734971785307577,0.019154672565268704,-0.012713460667237442,0.0031387479860467415,0.0
2025-01-01 16:30:00,-0.006791102280417682,0.017028989829475538,-0.010968102636179533,0.0029793001220199677,0.0
