interval,entity,strategy,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Kelly Criterion
10min,ETHUSDT,long_short,0.21765428350145744,0.10866411572570733,0.3405201416431112,0.31911215354654376,0.37372069025180854,-0.36090171562370216,0.3010906045096418,0.00830603833941923
10min,ETHUSDT,trend_following,-0.0007236144310975856,-0.0003791158809386408,0.13235890424695188,-0.0028643020512718665,-0.0017676597236651011,-0.16491154416582465,-0.0022989044390817528,0.00214739198564895
10min,SOLUSDT,buy_and_hold,-0.2259235869908348,-0.1255364808047954,0.4414188521367633,-0.2843931114339921,-0.39765380694048164,-0.6698276741103274,-0.18741608574404509,-0.0013680753594196293
10min,SOLUSDT,long_only,-0.007151946682943611,-0.0037528021629716912,0.3788844602595698,-0.009904872214607814,-0.011485461679634342,-0.474758701348937,-0.007904651673173791,0.0035102049314739148
10min,SOLUSDT,mean_reversion,-0.4721943156930505,-0.2844767678255631,0.44132575495391607,-0.6445958900705185,-0.8589299765345914,-0.5989344273710357,-0.47497147404640955,-0.008886676694010887
10min,SOLUSDT,long_short,0.15152158926470416,0.07670349514088537,0.4413280634419175,0.17380153562561787,0.23037983613044843,-0.3811659931269208,0.20123383650163307,0.006441422020229459
10min,SOLUSDT,trend_following,-0.1216664876709187,-0.06569825052067957,0.2231802705006137,-0.2943730212949039,-0.21289863824813943,-0.4320389172325928,-0.15206558460406058,-0.005804456404993719
10min,XRPUSDT,buy_and_hold,0.038134378285401116,0.019797869619772035,0.46914253406358847,0.042200116557942695,0.057782816234317885,-0.5104425511773717,0.038785696008506454,0.004690630672232687
10min,XRPUSDT,long_only,0.36034854727711574,0.17492436515039356,0.36795276308652425,0.47539897155021504,0.4542371014333311,-0.35426801793976365,0.49376279057777106,0.014610981259079892
10min,XRPUSDT,mean_reversion,0.448786817356676,0.2143360614239589,0.46904890733193405,0.4569588758732118,0.565800086826881,-0.38451821960420457,0.5574145788061253,0.011267944756921167
10min,XRPUSDT,long_short,0.5238690413907203,0.24690499880977668,0.4690769410201183,0.5263635391516445,0.6403492957439426,-0.3222170746451674,0.7662691341905885,0.012345919971161745
10min,XRPUSDT,trend_following,-0.15514387859282586,-0.08452465973828505,0.196762166401092,-0.42957780595881845,-0.26095508012866153,-0.2539111349212394,-0.3328907169215077,-0.012481451880849037
10min,Portfolio,buy_and_hold,-0.14915286354432322,-0.08112979141693766,0.3038486309838085,-0.2670072633016435,-0.3538641018008496,-0.4663682744815138,-0.17396078561976352,-0.0021433097151082325
10min,Portfolio,long_only,0.09068856174636997,0.04652297686255791,0.23942622961087154,0.19431027643950943,0.22818027390892354,-0.27402125761034135,0.1697787144992731,0.00605576430519239
10min,Portfolio,mean_reversion,-0.13650147166654736,-0.07399794712221164,0.2632410668709368,-0.28110335519378415,-0.3398844511420178,-0.3435901563741686,-0.21536690079569132,-0.002998816752842859
10min,Portfolio,long_short,0.3474154759815369,0.16905977267040817,0.24826679903645701,0.6809600531627364,0.7936131191830168,-0.200062976165228,0.8450327787325581,0.014541468300427685
10min,Portfolio,trend_following,-0.0394307995227664,-0.020852777986843374,0.10774187638069282,-0.19354385395296642,-0.18261994442001972,-0.17964334433724014,-0.11607876742539905,-0.003330586637953936
