interval,entity,strategy,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Kelly Criterion
1min,BNBUSDT,buy_and_hold,-0.14214715976251346,-0.007999757655772544,0.07617205372437832,-0.10502221306411065,-0.13062305595328172,-0.322053691275167,-0.024839826005712332,-0.0011813369984619015
1min,BNBUSDT,long_only,-0.15489109647196042,-0.008777241976466787,0.07604232873882505,-0.11542573882255894,-0.1424732130008806,-0.3180642821020537,-0.0275958115084753,-0.0013761297826904162
1min,BNBUSDT,mean_reversion,-0.07799003841260865,-0.004244650781398351,0.07617101068834538,-0.05572527846276574,-0.06914321090434439,-0.36025614802731415,-0.01178231323640458,-0.00030877406957940945
1min,BNBUSDT,long_short,-0.164912761432642,-0.009396488964777405,0.07617106978178129,-0.1233603386652825,-0.15353201893343824,-0.3140644556797093,-0.029918982536375198,-0.0015049728446513422
1min,BNBUSDT,trend_following,0.09559853435320309,0.00479431947779041,0.04732290150022345,0.10131076763684434,0.09693730890619068,-0.14569110051042589,0.03290742853196665,0.002834645564134819
1min,BTCUSDT,buy_and_hold,0.00785089946225348,0.0004097532594096176,0.07354980767394749,0.005571098992210672,0.007162180032501374,-0.3166698218368585,0.0012939447688220627,0.000720709394409158
1min,BTCUSDT,long_only,-0.04632259213968426,-0.002481562782335356,0.06247366820136526,-0.03972173963495752,-0.03737848728245885,-0.23303398180336637,-0.010648930954753602,-0.0001965108453569897
1min,BTCUSDT,mean_reversion,0.6096168944872671,0.025248912823719216,0.07354666780408206,0.3433046469349061,0.43117005046698403,-0.18340540374612746,0.1376672241275352,0.0064632171866159105
1min,BTCUSDT,long_short,-0.12174878887895435,-0.006777783180743513,0.07354770491485811,-0.0921549243255076,-0.11725101785526196,-0.37381501786494203,-0.018131382787815925,-0.0009505564778874431
1min,BTCUSDT,trend_following,-0.10971651933882098,-0.006069535471696086,0.03680379892618636,-0.16491600456434227,-0.10840067077722983,-0.15688708801995174,-0.038687284902147,-0.004846322714972817
1min,ETHUSDT,buy_and_hold,-0.45678986455923754,-0.031463284154440774,0.11148152388095643,-0.2822286874014952,-0.3455698848367324,-0.6287673685814278,-0.050039626301577315,-0.004062726784933912
