Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,return_1,return_3,MA_5,STD_5,HL_range,upper_shadow,lower_shadow,SMA_12,EMA_12,EMA_26,MACD,MACD_signal,RSI_14,BB_mid,BB_std,BB_upper,BB_lower,ATR_14,VWAP_5,OBV,hour,minute,weekday
2025-03-31 00:00:00+00:00,82418.125,82418.125,82336.7734375,82336.7734375,0,0.0,0.0,,,,,81.3515625,0.0,0.0,,82336.7734375,82336.7734375,0.0,0.0,,,,,,,,0,0,0,0
2025-03-31 00:05:00+00:00,82384.6328125,82384.6328125,82229.203125,82229.203125,1973074944,0.0,0.0,-0.0013064674265096388,,,,155.4296875,0.0,0.0,,82320.22415865384,82328.8052662037,-8.581107549849548,-1.7162215099699099,,,,,,,,-1973074944,0,5,0
2025-03-31 00:10:00+00:00,82224.6015625,82386.90625,82224.6015625,82281.15625,116411392,0.0,0.0,0.0006318086887091567,,,,162.3046875,105.75,0.0,,82314.21371116863,82325.27570944786,-11.061998279226827,-3.5853768638212937,,,,,,,,-1856663552,0,10,0
2025-03-31 00:15:00+00:00,82276.390625,82276.390625,82124.1953125,82203.984375,0,0.0,0.0,-0.0009379046007268466,-0.0016127552362833475,,,152.1953125,0.0,79.7890625,,82297.25535175807,82316.29116615542,-19.03581439735717,-6.67546437052847,,,,,,,,-1856663552,0,15,0
2025-03-31 00:20:00+00:00,82162.3671875,82162.3671875,82123.8125,82123.8125,43181056,0.0,0.0,-0.0009752796729933788,-0.0012816690542384324,82234.9859375,80.3841774169754,38.5546875,0.0,0.0,,82270.57183610297,82302.03348718095,-31.46165107797424,-11.632701712017624,,,,,,,82229.90508965029,-1899844608,0,20,0
2025-03-31 00:25:00+00:00,82062.9921875,82076.03125,82062.9921875,82067.5,82601984,0.0,0.0,-0.000685702456884818,-0.0025966607633810534,82181.13125,85.19928284822271,13.0390625,8.53125,0.0,,82239.33001516406,82284.66063627866,-45.33062111459731,-18.37228559253356,,,,,,,82223.84940054893,-1982446592,0,25,0
2025-03-31 00:30:00+00:00,82008.96875,82008.96875,81800.609375,81800.609375,33203200,0.0,0.0,-0.0032520866969263373,-0.004907000592086597,82095.4125,183.5641188189401,208.359375,0.0,0.0,,82171.8345320619,82248.80498729505,-76.97045523315319,-30.091919520657488,,,,,,,82134.46510697667,-2015649792,0,30,0
2025-03-31 00:35:00+00:00,81772.1328125,81772.1328125,81626.9609375,81669.1953125,281387008,0.0,0.0,-0.001606516913554512,-0.005535753561124568,81973.0203125,227.51057960140443,145.171875,0.0,42.234375,,82094.50542136007,82205.87093731023,-111.36551595016499,-46.346638806558985,,,,,,,81798.39247721061,-2297036800,0,35,0
2025-03-31 00:40:00+00:00,81576.265625,81576.265625,81414.046875,81414.046875,0,0.0,0.0,-0.0031241698479297364,-0.007962386145550893,81815.0328125,292.1262185276583,162.21875,0.0,0.0,,81989.81949115083,82147.21730306503,-157.39781191419752,-68.5568734280867,,,,,,,81798.39247721061,-2297036800,0,40,0
2025-03-31 00:45:00+00:00,81366.390625,81460.34375,81305.1484375,81460.34375,306253824,0.0,0.0,0.0005686595468110678,-0.004159695479041159,81682.3390625,266.3513607081321,155.1953125,0.0,61.2421875,,81908.36168481993,82096.33778061577,-187.97609579583514,-92.44071790163639,,,,,,,81631.24291212704,-1990782976,0,45,0
2025-03-31 00:50:00+00:00,81464.5625,81562.09375,81458.09375,81531.140625,147465216,0.0,0.0,0.0008690961974979761,-0.0016904132209426548,81575.0671875,158.70407469625633,104.0,30.953125,6.46875,,81850.32767561686,82054.47132464423,-204.1436490273627,-114.78130412678166,,,,,,,81565.12720869397,-1843317760,0,50,0
2025-03-31 00:55:00+00:00,81544.7890625,81681.71875,81544.7890625,81624.6171875,212925440,0.0,0.0,0.0011465136116510788,0.00258641254897074,81539.86875,107.4001948860979,136.9296875,57.1015625,0.0,81895.19856770833,81815.60298513735,82022.63027744836,-207.02729231101694,-133.23050176362872,,,,,,,81570.24114057275,-1630392320,0,55,0
2025-03-31 01:00:00+00:00,81541.1484375,81905.8203125,81541.1484375,81905.8203125,0,0.0,0.0,0.0034450774127865458,0.005468631017162773,81587.19375,195.0231496831908,364.671875,0.0,0.0,81859.28580729167,81829.48257396238,82013.97768745219,-184.49511348981468,-143.48342410886593,,,,,,,81528.47312298154,-1630392320,1,0,0
2025-03-31 01:05:00+00:00,81846.453125,81978.984375,81828.8125,81978.984375,0,0.0,0.0,0.0008932706152120495,0.005492916529401315,81700.18125,230.12240948231485,150.171875,0.0,17.640625,81838.43424479167,81852.48285104509,82011.3855902335,-158.90273918841558,-146.56728712477587,,,,,,165.52455357142858,81528.47312298154,-1630392320,1,5,0
2025-03-31 01:10:00+00:00,81895.8984375,81952.84375,81865.390625,81865.390625,207798272,0.0,0.0,-0.0013856447584222886,0.002949764982626668,81781.190625,192.86317065213208,87.453125,56.9453125,0.0,81803.787109375,81854.46866242278,82000.57114836435,-146.10248594157747,-146.4743268881362,36.17778714474872,,,,,167.82756696428572,81688.41245169776,-1838190592,1,10,0
2025-03-31 01:15:00+00:00,81899.0,81944.140625,81821.296875,81821.296875,95542272,0.0,0.0,-0.0005386128333764173,-0.0010319588666288793,81839.221875,133.25744752379026,122.84375,45.140625,0.0,81771.896484375,81849.36531051158,81987.2915725596,-137.9262620480149,-144.76471392011194,37.576617048007,,,,,165.5,81757.92740081825,-1933732864,1,15,0
2025-03-31 01:20:00+00:00,81792.9765625,81814.1953125,81788.7578125,81814.1953125,69058560,0.0,0.0,-8.679357051566416e-05,-0.002010137887854313,81877.1375,67.84794234188769,25.4375,0.0,4.21875,81746.09505208333,81843.95454158672,81974.46962737,-130.51508578327775,-141.91478829274513,35.378556226913574,,,,,156.23102678571428,81844.58420647543,-2002791424,1,20,0
2025-03-31 01:25:00+00:00,81942.2890625,82168.65625,81942.2890625,82102.1640625,111650816,0.0,0.0,0.0035197895536351886,0.0028922287634902677,81916.40625,123.00147314662141,226.3671875,66.4921875,0.0,81748.98372395833,81883.67908326568,81983.92847441665,-100.2493911509664,-133.58170886438938,47.1836007900526,,,,,170.33816964285714,81903.99750234025,-1891140608,1,25,0
2025-03-31 01:30:00+00:00,82165.2734375,82165.2734375,82030.1328125,82038.9296875,0,0.0,0.0,-0.0007701913307895936,0.0026598553287719984,81928.3953125,133.13032383261972,135.140625,0.0,8.796875,81768.84375,81907.56379160943,81988.00263834876,-80.43884673932916,-122.95313643937735,47.629892368973294,,,,,174.26450892857142,81903.99750234025,-1891140608,1,30,0
2025-03-31 01:35:00+00:00,82020.78125,82020.78125,81858.0078125,81998.4921875,0,0.0,0.0,-0.0004929062355399916,0.002252627118020989,81955.015625,130.66704686427033,162.7734375,0.0,140.484375,81796.28515625,81921.55277559259,81988.77964198959,-67.2268663970026,-111.8078824309024,48.05592115399007,81913.3828125,272.1056511070878,82457.59411471417,81369.17151028583,182.84319196428572,81933.03784456699,-1891140608,1,35,0
2025-03-31 01:40:00+00:00,82029.8359375,82029.8359375,81961.796875,81961.796875,287636480,0.0,0.0,-0.00044751203980786247,-0.001709664892549534,81983.115625,107.83406209880745,68.0390625,0.0,0.0,81841.93098958333,81927.74417550143,81986.78091850888,-59.03674300745479,-101.25365454621289,55.21769037792345,81894.633984375,253.69295064293735,82402.01988566088,81387.24808308913,168.63950892857142,81973.49540845302,-2178777088,1,40,0
2025-03-31 01:45:00+00:00,81974.71875,81974.71875,81810.9453125,81810.9453125,13784064,0.0,0.0,-0.0018405106799948001,-0.0027789779299709494,81982.465625,109.10908741503385,163.7734375,0.0,0.0,81871.14778645833,81909.77511965505,81973.75605880452,-63.980939149463666,-93.79911146686304,54.53146853146853,81873.72109375,241.61326808376873,82356.94762991754,81390.49455758247,167.93415178571428,81994.70344937978,-2192561152,1,45,0
2025-03-31 01:50:00+00:00,81798.90625,81820.0078125,81791.015625,81816.265625,0,0.0,0.0,6.50317934804967e-05,-0.0022223160162910816,81925.2859375,105.55367422931741,28.9921875,3.7421875,7.890625,81894.908203125,81895.38904355429,81962.09010074491,-66.70105719062849,-88.37950061161612,65.30239802166184,81850.4765625,221.91202792861614,82294.30061835723,81406.65250664277,151.78013392857142,81954.89838173738,-2192561152,1,50,0
2025-03-31 01:55:00+00:00,81863.109375,81976.9453125,81863.109375,81976.9453125,220762112,0.0,0.0,0.0019639088422400697,0.00018482315026724372,81912.8890625,91.58560085479402,113.8359375,0.0,0.0,81924.26888020833,81907.93616185362,81963.19048680084,-55.2543249472219,-81.75446547873727,68.08047554726762,81839.124609375,208.26390761437946,82255.65242460376,81422.59679414623,152.171875,81964.21911834621,-1971799040,1,55,0
2025-03-31 02:00:00+00:00,81946.3515625,81946.3515625,81777.7109375,81777.7109375,0,0.0,0.0,-0.002430370810238336,-0.0004062338464988491,81868.7328125,93.20414091414256,168.640625,0.0,0.0,81913.59309895833,81887.90151195307,81949.45126092671,-61.549748973644455,-77.71352217771872,57.91784368524307,81821.81953125,197.46263850846904,82216.74480826694,81426.89425423306,158.97433035714286,81964.21911834621,-1971799040,2,0,0
