split,interval,strategy,cum_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,kelly_criterion
2024-06-01 (80/20),1min,buy_and_hold,0.3237096430042743,0.00518110018411666,0.08538352876831533,0.06068032393197711,0.07778797444354725,-0.46926051356722703,0.011040989033428246,0.0017380952799481708
2024-06-01 (80/20),1min,long_only,0.32424041484248955,0.005188525865114757,0.08538351134554771,0.0607673048736161,0.07789930810619983,-0.4692605135672213,0.011056813252137192,0.0017395553875919623
2024-06-01 (80/20),1min,mean_reversion,0.5679378127977146,0.008322336446618506,0.07240488276024303,0.11494164660381492,0.1352682914897324,-0.351693563305824,0.023663601825381173,0.002835003847713513
2024-06-01 (80/20),1min,long_short,0.32424041484248955,0.005188525865114757,0.08538351134554771,0.0607673048736161,0.07789930810619983,-0.4692605135672213,0.011056813252137192,0.0017395553875919623
2024-06-01 (80/20),1min,trend_following,0.64264543500214,0.009187577899324895,0.050419884649311734,0.1822213192915409,0.20691592988851362,-0.17947065602469764,0.051192646769288884,0.004125777265232666
2024-06-01 (80/20),10min,buy_and_hold,0.31549890509572265,0.05182811672186127,0.27031337924430227,0.19173344977134985,0.24907891720173161,-0.4663682744815117,0.11113130879127993,0.005372409570403636
2024-06-01 (80/20),10min,long_only,0.3590952736122619,0.05816630232092024,0.16639688701085298,0.34956364488433267,0.4508589912248356,-0.30045962695581657,0.1935910754807459,0.007156310412860578
2024-06-01 (80/20),10min,mean_reversion,0.10418257735730907,0.018429883945826342,0.22934935008255466,0.08035725385396765,0.09711003823082662,-0.3435901563741677,0.05363915002779156,0.003568310005859665
2024-06-01 (80/20),10min,long_short,0.3043328275886037,0.05017722853208495,0.0956858155336255,0.5243956823929863,0.7101123411795109,-0.14524688136933528,0.34546165851570865,0.009194167895107574
2024-06-01 (80/20),10min,trend_following,0.09355369052437523,0.016616274339695147,0.12144173699766078,0.13682507143335088,0.17860870354990283,-0.2199185506274178,0.07555649258459397,0.003348263522217232
2024-06-01 (80/20),1h,buy_and_hold,0.31103242147441423,0.34903095773317894,0.6568881323660981,0.531340026613019,0.6627805173616964,-0.4639555632686371,0.7522939379672551,0.01329876234875682
2024-06-01 (80/20),1h,long_only,0.3570212265007422,0.40144104469116426,0.40507060418108964,0.9910396867793874,1.2336788980541913,-0.300599171070151,1.3354695665394225,0.01784232008684028
2024-06-01 (80/20),1h,mean_reversion,0.3200893692285198,0.35933737917348574,0.5239699942197116,0.6857976279893769,0.8340005917442379,-0.3640694323682209,0.9870023331430111,0.015014021965478241
2024-06-01 (80/20),1h,long_short,0.3076072508983727,0.3451352136081023,0.23357597510763595,1.4776143541691642,2.00601864329497,-0.14313259936094294,2.4112970430849345,0.022485982246318204
2024-06-01 (80/20),1h,trend_following,0.2362197525322718,0.26418892641412706,0.29253174858429665,0.9031119791019803,1.144619016884778,-0.24813135797552124,1.064713982825943,0.016002100685977683
2024-06-01 (80/20),1d,buy_and_hold,0.31615976458383255,0.23263115740549645,0.5052777457039264,0.4604025397584193,0.6419310605682752,-0.42616440300309805,0.5458718648629255,0.05770484343379095
2024-06-01 (80/20),1d,long_only,0.26337475813299216,0.19481161522963997,0.41679099197390734,0.4674084108848396,0.6561221039549102,-0.3221495333848779,0.6047241887415525,0.056649979896405855
2024-06-01 (80/20),1d,mean_reversion,-0.26812235660687156,-0.21151571326383367,0.40824540381053476,-0.5181092335383581,-0.6616451216523922,-0.5399560962043813,-0.39172761406099926,-0.04095411777721414
2024-06-01 (80/20),1d,long_short,0.267358761388899,0.19767906764960763,0.3646157225402117,0.5421572780032999,0.7659065510976283,-0.2537754525641523,0.7789526751001893,0.0630138474428007
2024-06-01 (80/20),1d,trend_following,-0.24670078918704985,-0.1940060873903724,0.16747040496765206,-1.158449980627,-0.8557554176674877,-0.2733225406005859,-0.7098063956381815,-0.2127204102567818
2024-10-01,1min,buy_and_hold,0.39918539791175656,0.009866131647732646,0.09114243121856279,0.10824959918035663,0.14108284939063803,-0.4692605135672211,0.021024849443931175,0.002536618734278351
2024-10-01,1min,long_only,0.40010164657192293,0.009885454881415123,0.09114236314989721,0.10846169157537662,0.14135868481154362,-0.4692605135672143,0.021066027495618773,0.0025400998427357324
2024-10-01,1min,mean_reversion,0.3304863900879167,0.008381146997170186,0.0770948334976286,0.1087121745639153,0.13028698861615867,-0.3516935633058609,0.023830822828796755,0.002703479179036572
2024-10-01,1min,long_short,0.40021036571127255,0.009887746899829075,0.09114235065777351,0.10848685411852224,0.14139144160308265,-0.46926051356721554,0.021070911815410574,0.0025405116716508136
2024-10-01,1min,trend_following,0.4130215371658994,0.010156629768936831,0.054297124114794995,0.1870564958001032,0.21256116573909312,-0.17947065602469964,0.05659214711701408,0.0042211060139137335
2024-10-01,10min,buy_and_hold,0.39301116889193,0.10173060955442725,0.28931055098286057,0.3516311769785887,0.4627676012244098,-0.46636827448151036,0.2181336405601931,0.007908459649016875
2024-10-01,10min,long_only,0.39772229222073907,0.10281835960901642,0.18285692025098685,0.5622885886292375,0.7414145261927625,-0.30045962695581635,0.3422035787328466,0.010379944168928124
2024-10-01,10min,mean_reversion,0.2490015694522154,0.06714559061820546,0.2461648323782153,0.2727667878856103,0.33633667012187096,-0.3435901563741669,0.19542349910945778,0.006975297611444553
2024-10-01,10min,long_short,0.33027215157167,0.0869902384123451,0.10808234560147335,0.8048515039921493,1.1098002054912322,-0.14524688136933447,0.5989129514674115,0.013307786520859843
2024-10-01,10min,trend_following,0.024611063210830064,0.0071316013192266325,0.12913493508609314,0.05522596433313771,0.07249290741379334,-0.21991855062740895,0.03242837540935396,0.0020259977861534773
2024-10-01,1h,buy_and_hold,0.38221689219334,0.7639516832755677,0.7043833433751958,1.0845680700155942,1.3566357394114483,-0.4639555632686381,1.6466052867076555,0.019344594751060207
2024-10-01,1h,long_only,0.3918586167539937,0.785583148289708,0.44577392418807915,1.762290492250188,2.2235646434387952,-0.30059917107015055,2.613390933491221,0.025611642298108972
2024-10-01,1h,mean_reversion,0.3886459196932823,0.7783627932789767,0.5516040338768776,1.411089740965733,1.7249601128955763,-0.2583909109485609,3.012345869371268,0.022707936745028245
2024-10-01,1h,long_short,0.33752888426914174,0.6651766839694737,0.2634186166631984,2.525169604166417,3.481322847727039,-0.1431325993609444,4.6472759311249945,0.03282727928965268
2024-10-01,1h,trend_following,0.19101907905411952,0.3586765749498868,0.3112748228926148,1.1522826408405824,1.4562483935287893,-0.24813135797551894,1.4455108692278806,0.01943679116788044
2024-10-01,1d,buy_and_hold,0.4656945862248367,0.5856434583305223,0.5396300966878177,1.0852683383027169,1.4784291351337329,-0.42616440300309827,1.374219559877845,0.09555553416907275
2024-10-01,1d,long_only,0.4493448654059595,0.5643411569309678,0.4066100988316233,1.3879172173848557,1.9076596640298196,-0.3221495333848777,1.7517987718353747,0.11502218484102794
2024-10-01,1d,mean_reversion,-0.359143512892928,-0.41520529137345275,0.45032750154495343,-0.922007405608128,-1.1393579499407542,-0.5069976853861824,-0.8189490866357487,-0.11110485487424882
2024-10-01,1d,long_short,0.45623472325417147,0.5733120630890653,0.32197727644405927,1.780597902500344,2.6258817243768,-0.1946333748441271,2.945599969934265,0.143083933434613
2024-10-01,1d,trend_following,-0.00739841651700146,-0.008913776139951035,0.011100219680896545,-0.8030270027260474,-0.2733410114112283,-0.011884226887657667,-0.7500509897878518,-0.4070532023730674
2025-01-01,1min,buy_and_hold,-0.14580880161808696,-0.008222021079767328,0.09596231201479492,-0.08567968931907043,-0.11082714981892423,-0.469260513567226,-0.017521229342876397,-0.0006420610002730864
2025-01-01,1min,long_only,-0.14598654625514462,-0.008232833227888925,0.09596230014380494,-0.08579237070757535,-0.11097289008741922,-0.4692605135672188,-0.01754427016521095,-0.000643977427287723
2025-01-01,1min,mean_reversion,0.2110334599782735,0.010080991147866092,0.08167135500510343,0.12343362182782637,0.1442074575008026,-0.2841950659328269,0.035472083636557086,0.003118859535799934
2025-01-01,1min,long_short,-0.14598654625514462,-0.008232833227888925,0.09596230014380494,-0.08579237070757535,-0.11097289008741922,-0.4692605135672188,-0.01754427016521095,-0.000643977427287723
2025-01-01,1min,trend_following,0.1180454945256666,0.005862429088602239,0.05752828315342085,0.10190516329103481,0.11480907687610886,-0.17947065602468015,0.032665112049270376,0.0026857415801364026
2025-01-01,10min,buy_and_hold,-0.14915286354432322,-0.08112979141693766,0.3038486309838085,-0.2670072633016435,-0.3538641018008496,-0.4663682744815138,-0.17396078561976352,-0.0021433097151082325
2025-01-01,10min,long_only,-0.10567984561508148,-0.056828619611522746,0.22887116004395233,-0.24829960926754335,-0.3229370688753223,-0.34501768966494517,-0.1647121910378287,-0.002413771469629955
2025-01-01,10min,mean_reversion,-0.13650147166654736,-0.07399794712221164,0.2632410668709368,-0.28110335519378415,-0.3398844511420178,-0.3435901563741686,-0.21536690079569132,-0.002998816752842859
2025-01-01,10min,long_short,-0.07138824391539333,-0.03805421797463526,0.16743109838462691,-0.22728285451019475,-0.29162997012105424,-0.23882530937764498,-0.1593391340046864,-0.002506029941136023
2025-01-01,10min,trend_following,-0.1571407683878736,-0.08565876278639095,0.13180938025650737,-0.6498684890232765,-0.8367085825650447,-0.21989788450256537,-0.38953882153146246,-0.011092678495405073
2025-01-01,1h,buy_and_hold,-0.15746969736398253,-0.41630367544021274,0.7449637405497425,-0.5588240779786187,-0.7032849209100296,-0.4639555632686374,-0.8972921296757175,-0.005949781094928386
2025-01-01,1h,long_only,-0.10724720273582944,-0.2998426467456574,0.5601377115538875,-0.5353016598612131,-0.6563125841890671,-0.34492330059388804,-0.8693023818031114,-0.006091744415056222
2025-01-01,1h,mean_reversion,0.46943821051870516,2.351164219290231,0.5875120365904556,4.001899659681674,4.877789417916244,-0.20636776858570477,11.393078654692097,0.04068289048361007
2025-01-01,1h,long_short,-0.07414980702379803,-0.21499992434986992,0.4096760292322208,-0.524804745722624,-0.6282532328695771,-0.2376803609869566,-0.9045758911552169,-0.006631603362603156
2025-01-01,1h,trend_following,-0.11440712673909859,-0.317335035786364,0.28450596145002316,-1.115389759037115,-1.2712136784651025,-0.22418711743188355,-1.4154918419109532,-0.021427379518531686
2025-01-01,1d,buy_and_hold,-0.17157582674242444,-0.33330219070719447,0.5980423934900523,-0.5573220131805565,-0.7508140573636639,-0.42616440300309844,-0.7820976795773606,-0.034705084422562704
2025-01-01,1d,long_only,-0.2284374192488987,-0.42797527653039114,0.5698224677610221,-0.7510677460859261,-0.9640796333841288,-0.4491599588096018,-0.9528348823983421,-0.06305114947936852
2025-01-01,1d,mean_reversion,-0.0801724013184899,-0.1647254540795161,0.5168618179445058,-0.31870308148241333,-0.3766400857150524,-0.3094589889256498,-0.5323014033342325,-0.010769031494892667
2025-01-01,1d,long_short,-0.2284374192488987,-0.42797527653039114,0.5698224677610221,-0.7510677460859261,-0.9640796333841288,-0.4491599588096018,-0.9528348823983421,-0.06305114947936852
2025-01-01,1d,trend_following,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
