Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-01 18:00:00+00:00,67751.46875,67752.9921875,67668.6015625,67701.7109375,0,0.0,0.0
2024-06-01 19:00:00+00:00,67711.25,67728.0625,67638.0,67708.8359375,0,0.0,0.0
2024-06-01 20:00:00+00:00,67695.6015625,67734.0625,67659.71875,67734.0625,0,0.0,0.0
2024-06-01 21:00:00+00:00,67741.7421875,67761.5078125,67664.4609375,67730.2578125,0,0.0,0.0
2024-06-01 22:00:00+00:00,67702.65625,67812.6796875,67678.984375,67729.9921875,0,0.0,0.0
2024-06-01 23:00:00+00:00,67732.96875,67763.703125,67692.28125,67708.1171875,0,0.0,0.0
2024-06-02 00:00:00+00:00,67714.453125,67851.1015625,67703.765625,67808.4765625,0,0.0,0.0
2024-06-02 01:00:00+00:00,67827.2109375,67835.7578125,67664.875,67688.5390625,0,0.0,0.0
2024-06-02 02:00:00+00:00,67700.640625,67748.0625,67611.5859375,67659.5078125,33300480,0.0,0.0
2024-06-02 03:00:00+00:00,67668.6953125,67754.1640625,67668.6953125,67727.8125,0,0.0,0.0
2024-06-02 04:00:00+00:00,67734.734375,67798.984375,67698.4296875,67790.8125,0,0.0,0.0
2024-06-02 05:00:00+00:00,67800.6484375,67819.03125,67704.515625,67732.3828125,0,0.0,0.0
2024-06-02 06:00:00+00:00,67707.7578125,67778.4921875,67705.0,67778.4921875,0,0.0,0.0
2024-06-02 07:00:00+00:00,67773.7109375,67790.0,67679.515625,67709.6484375,0,0.0,0.0
2024-06-02 08:00:00+00:00,67713.078125,67755.2421875,67636.828125,67719.6484375,30701568,0.0,0.0
2024-06-02 09:00:00+00:00,67704.65625,67724.6796875,67394.65625,67455.859375,322488320,0.0,0.0
2024-06-02 10:00:00+00:00,67479.0703125,67518.5,67379.203125,67479.2109375,130213888,0.0,0.0
2024-06-02 11:00:00+00:00,67484.2578125,68217.296875,67454.375,68166.546875,721868800,0.0,0.0
2024-06-02 12:00:00+00:00,68201.578125,68212.234375,67841.3984375,67879.1171875,631123968,0.0,0.0
2024-06-02 13:00:00+00:00,67896.578125,68129.84375,67789.4765625,68118.265625,344517632,0.0,0.0
2024-06-02 14:00:00+00:00,68111.3828125,68378.796875,68026.3828125,68170.4140625,1007535104,0.0,0.0
2024-06-02 15:00:00+00:00,68197.515625,68197.515625,67986.21875,68096.9140625,219681792,0.0,0.0
2024-06-02 16:00:00+00:00,68092.5625,68147.625,67966.9375,68047.640625,159003648,0.0,0.0
2024-06-02 17:00:00+00:00,68050.3671875,68055.578125,67810.75,67866.734375,284683264,0.0,0.0
2024-06-02 18:00:00+00:00,67841.78125,67841.78125,67480.765625,67653.875,746791936,0.0,0.0
2024-06-02 19:00:00+00:00,67662.9921875,67764.3828125,67371.34375,67731.6484375,888297472,0.0,0.0
2024-06-02 20:00:00+00:00,67723.984375,67791.4375,67558.2109375,67783.9140625,152544256,0.0,0.0
