Date,Average_Cumulative_Return
2025-01-01 18:00:00+00:00,1.001382988328503
2025-01-01 18:10:00+00:00,1.000372568682375
2025-01-01 18:20:00+00:00,1.0004882275708689
2025-01-01 18:30:00+00:00,1.0017387631355648
2025-01-01 18:40:00+00:00,1.0005083211247683
2025-01-01 18:50:00+00:00,0.9993681465875592
2025-01-01 19:00:00+00:00,0.9993052828213254
2025-01-01 19:10:00+00:00,0.9993210473958307
2025-01-01 19:20:00+00:00,1.000558108502911
2025-01-01 19:30:00+00:00,1.0002626717225502
2025-01-01 19:40:00+00:00,0.9993632538765891
2025-01-01 19:50:00+00:00,0.9994877594838361
2025-01-01 20:00:00+00:00,0.9991340224929661
2025-01-01 20:10:00+00:00,1.0000990754738877
2025-01-01 20:20:00+00:00,0.9998107521844737
2025-01-01 20:30:00+00:00,0.9989187436583447
2025-01-01 20:40:00+00:00,0.9979730264618313
2025-01-01 20:50:00+00:00,0.998282652156133
2025-01-01 21:00:00+00:00,0.9982827683519077
2025-01-01 21:10:00+00:00,0.9985109989599212
2025-01-01 21:20:00+00:00,0.9974589284686024
2025-01-01 21:30:00+00:00,0.9996883456287884
2025-01-01 21:40:00+00:00,0.999703714904002
2025-01-01 21:50:00+00:00,0.9986893607246048
2025-01-01 22:00:00+00:00,1.0023143492565183
2025-01-01 22:10:00+00:00,1.0018131902873857
2025-01-01 22:20:00+00:00,1.0024778666765222
2025-01-01 22:30:00+00:00,1.0031078442259294
2025-01-01 22:40:00+00:00,1.0043582439404415
2025-01-01 22:50:00+00:00,1.0055282940994423
2025-01-01 23:00:00+00:00,1.0065482787825264
2025-01-01 23:10:00+00:00,1.0065926154332585
2025-01-01 23:20:00+00:00,1.0053348415659824
2025-01-01 23:30:00+00:00,1.0035436178960548
2025-01-01 23:40:00+00:00,1.0033232407327268
2025-01-01 23:50:00+00:00,1.002102586770204
2025-01-02 00:00:00+00:00,1.0056503287008347
2025-01-02 00:10:00+00:00,1.0027156712332748
2025-01-02 00:20:00+00:00,1.0016515845620875
2025-01-02 00:30:00+00:00,1.00438640188974
2025-01-02 00:40:00+00:00,1.007961880267532
2025-01-02 00:50:00+00:00,1.009218217184785
2025-01-02 01:00:00+00:00,1.0062951853426514
2025-01-02 01:10:00+00:00,1.0086204307001463
2025-01-02 01:20:00+00:00,1.0105157117567387
2025-01-02 01:30:00+00:00,1.011355691962341
2025-01-02 01:40:00+00:00,1.0108463876432032
2025-01-02 01:50:00+00:00,1.0104898185534668
2025-01-02 02:00:00+00:00,1.009120963263898
2025-01-02 02:10:00+00:00,1.0088329974346846
2025-01-02 02:20:00+00:00,1.0083768216447067
2025-01-02 02:30:00+00:00,1.0073205499676103
2025-01-02 02:40:00+00:00,1.0081034543519967
2025-01-02 02:50:00+00:00,1.0079170798856336
2025-01-02 03:00:00+00:00,1.010027781355142
2025-01-02 03:10:00+00:00,1.0099944651671895
2025-01-02 03:20:00+00:00,1.008825899808771
2025-01-02 03:30:00+00:00,1.011559292925811
2025-01-02 03:40:00+00:00,1.011171369045186
2025-01-02 03:50:00+00:00,1.0112413953839272
2025-01-02 04:00:00+00:00,1.0119405030619415
2025-01-02 04:10:00+00:00,1.0118545102645893
2025-01-02 04:20:00+00:00,1.0120450400896281
2025-01-02 04:30:00+00:00,1.008415353687583
2025-01-02 04:40:00+00:00,1.007273797212824
2025-01-02 04:50:00+00:00,1.0063507407665688
2025-01-02 05:00:00+00:00,1.0091299633479094
2025-01-02 05:10:00+00:00,1.0080860002853682
2025-01-02 05:20:00+00:00,1.007161713848492
2025-01-02 05:30:00+00:00,1.0072912535450393
2025-01-02 05:40:00+00:00,1.0074999928670554
2025-01-02 05:50:00+00:00,1.0064618935663026
2025-01-02 06:00:00+00:00,1.0059824746748176
2025-01-02 06:10:00+00:00,1.0068493204916442
2025-01-02 06:20:00+00:00,1.005895173692267
2025-01-02 06:30:00+00:00,1.0060646242576676
2025-01-02 06:40:00+00:00,1.005179294993928
2025-01-02 06:50:00+00:00,1.0050961550695567
2025-01-02 07:00:00+00:00,1.0051174117138035
2025-01-02 07:10:00+00:00,1.005092745713633
2025-01-02 07:20:00+00:00,1.002928261754779
2025-01-02 07:30:00+00:00,1.0033991731793757
2025-01-02 07:40:00+00:00,1.005682260738208
2025-01-02 07:50:00+00:00,1.0048530560473594
2025-01-02 08:00:00+00:00,1.005692459642662
2025-01-02 08:10:00+00:00,1.0054560189577693
2025-01-02 08:20:00+00:00,1.0068729805106658
