feature,importance,coin_id,rank
vol_20,0.10381030199611777,SOLUSDT,19
mom_diff_5_50,0.09778659672960346,SOLUSDT,20
vol_50,0.09474226405450908,SOLUSDT,21
sin_day,0.06962839547427105,SOLUSDT,22
ret_ma_5,0.05613974508111224,SOLUSDT,23
number_of_trades,0.05585317374115784,SOLUSDT,24
cos_week,0.03220545633435975,SOLUSDT,25
vol_5,0.015070566229603025,SOLUSDT,26
ret_ma_20,0.009379922946671287,SOLUSDT,27
sin_week,0.003161328171341899,SOLUSDT,28
ret_ma_50,0.0024633558872323765,SOLUSDT,29
volume_ratio,0.0023243121150602875,SOLUSDT,30
cos_day,0.0,SOLUSDT,31
vol_50,0.21346955658220004,XRPUSDT,1
sma_30,0.17825970047245437,XRPUSDT,2
log_ret,0.1376190328669117,XRPUSDT,3
range_pct,0.12834796585073666,XRPUSDT,4
open,0.12560663554074983,XRPUSDT,5
vol_10,0.11951852962029208,XRPUSDT,6
vol_20,0.1088194050864157,XRPUSDT,7
number_of_trades,0.10333114923298412,XRPUSDT,8
quote_asset_volume,0.10292075143979384,XRPUSDT,9
sma_10,0.07639209323958368,XRPUSDT,10
ret_ma_50,0.07476667225197904,XRPUSDT,11
close,0.06312341244307737,XRPUSDT,12
ret_ma_20,0.05772781371599921,XRPUSDT,13
cos_week,0.05619106631172384,XRPUSDT,14
volume_ratio,0.05289230239467087,XRPUSDT,15
taker_buy_quote_asset_volume,0.05146926639604924,XRPUSDT,16
ema_10,0.04996279604652419,XRPUSDT,17
oc_pct,0.04847286364286828,XRPUSDT,18
high,0.04669632828898494,XRPUSDT,19
mom_diff_5_50,0.03974572836402251,XRPUSDT,20
volume,0.03807782173069837,XRPUSDT,21
ret_ma_10,0.03740981541614456,XRPUSDT,22
low,0.03386424291848516,XRPUSDT,23
taker_buy_base_asset_volume,0.0291592435808868,XRPUSDT,24
sin_week,0.028948736736491103,XRPUSDT,25
vol_5,0.022893773239171595,XRPUSDT,26
ret_ma_5,0.022475094992245717,XRPUSDT,27
trend_ratio,0.014781551923819108,XRPUSDT,28
sin_day,0.008445303110219462,XRPUSDT,29
sma_7,0.00075087404320551,XRPUSDT,30
cos_day,0.0,XRPUSDT,31
