feature,importance,coin_id,rank
low,3.3596450106130353,BNBUSDT,1
close,3.1573163368985786,BNBUSDT,2
open,2.5766497578810323,BNBUSDT,3
sma_7,2.508839439857815,BNBUSDT,4
sma_10,1.5749840151567975,BNBUSDT,5
sma_30,0.9460680644471741,BNBUSDT,6
ret_ma_5,0.5285004454089837,BNBUSDT,7
mom_diff_5_50,0.4863404657342836,BNBUSDT,8
high,0.4274178831913604,BNBUSDT,9
quote_asset_volume,0.19144321260575853,BNBUSDT,10
ret_ma_50,0.16247504026139598,BNBUSDT,11
taker_buy_quote_asset_volume,0.1269229002860663,BNBUSDT,12
ema_10,0.11569474887401757,BNBUSDT,13
volume,0.07106470418074472,BNBUSDT,14
range_pct,0.05396596447397246,BNBUSDT,15
taker_buy_base_asset_volume,0.05214633086383828,BNBUSDT,16
oc_pct,0.04116915749657018,BNBUSDT,17
number_of_trades,0.03872955063473203,BNBUSDT,18
volume_ratio,0.029189146557393113,BNBUSDT,19
vol_10,0.027327923927298062,BNBUSDT,20
vol_50,0.026791095818933717,BNBUSDT,21
log_ret,0.01696598890594658,BNBUSDT,22
ret_ma_20,0.016484058251943764,BNBUSDT,23
cos_day,0.013097131480817053,BNBUSDT,24
ret_ma_10,0.007753991161187153,BNBUSDT,25
cos_week,0.0074859329431953905,BNBUSDT,26
trend_ratio,0.0073293299467167596,BNBUSDT,27
vol_5,0.00547811392048295,BNBUSDT,28
sin_week,0.0017825908806699188,BNBUSDT,29
sin_day,0.0004848916985915199,BNBUSDT,30
vol_20,0.00035134007411079737,BNBUSDT,31
open,0.23893684674710416,BTCUSDT,1
taker_buy_quote_asset_volume,0.22748217124761924,BTCUSDT,2
quote_asset_volume,0.22305942398112188,BTCUSDT,3
sma_30,0.21695033585916706,BTCUSDT,4
close,0.2163098001269568,BTCUSDT,5
sma_7,0.17444811022414553,BTCUSDT,6
sma_10,0.16681481264115675,BTCUSDT,7
low,0.12127307718528363,BTCUSDT,8
ret_ma_5,0.11584936013321269,BTCUSDT,9
ema_10,0.11400271544335396,BTCUSDT,10
high,0.09979131876073515,BTCUSDT,11
log_ret,0.0992618695210706,BTCUSDT,12
taker_buy_base_asset_volume,0.07303212223989619,BTCUSDT,13
volume,0.07267378886817509,BTCUSDT,14
oc_pct,0.0683657243973125,BTCUSDT,15
volume_ratio,0.06124385884556147,BTCUSDT,16
mom_diff_5_50,0.05672559791729685,BTCUSDT,17
ret_ma_20,0.03143411967703683,BTCUSDT,18
trend_ratio,0.024224511549131356,BTCUSDT,19
ret_ma_10,0.018219183319854247,BTCUSDT,20
vol_50,0.016800717174543456,BTCUSDT,21
vol_20,0.01607065903072662,BTCUSDT,22
ret_ma_50,0.013611257350142606,BTCUSDT,23
cos_day,0.011756917618695717,BTCUSDT,24
number_of_trades,0.009856490933463299,BTCUSDT,25
sin_day,0.007079120400601894,BTCUSDT,26
vol_10,0.00626674527290672,BTCUSDT,27
cos_week,0.006192328786122368,BTCUSDT,28
sin_week,0.004790811974189186,BTCUSDT,29
range_pct,0.0019434294697284822,BTCUSDT,30
vol_5,0.0018054536059751419,BTCUSDT,31
open,0.23247582270428277,ETHUSDT,1
sma_10,0.156337554548845,ETHUSDT,2
sma_7,0.15535381667451317,ETHUSDT,3
sma_30,0.13816993996290633,ETHUSDT,4
oc_pct,0.13664175651846733,ETHUSDT,5
close,0.1305066379120129,ETHUSDT,6
ema_10,0.12218708484889024,ETHUSDT,7
quote_asset_volume,0.11711452890287911,ETHUSDT,8
low,0.10917928016638279,ETHUSDT,9
high,0.10668915044431546,ETHUSDT,10
taker_buy_quote_asset_volume,0.10587463393605413,ETHUSDT,11
log_ret,0.09848266175116743,ETHUSDT,12
volume,0.08184979918835408,ETHUSDT,13
taker_buy_base_asset_volume,0.07289627148038083,ETHUSDT,14
volume_ratio,0.06285512590822696,ETHUSDT,15
ret_ma_5,0.031565418369133236,ETHUSDT,16
ret_ma_20,0.020378739987543106,ETHUSDT,17
number_of_trades,0.019275416892473276,ETHUSDT,18
vol_10,0.01748621534704016,ETHUSDT,19
range_pct,0.015512447969763962,ETHUSDT,20
ret_ma_10,0.014050235087856529,ETHUSDT,21
vol_50,0.0134965937544687,ETHUSDT,22
mom_diff_5_50,0.012613786797509022,ETHUSDT,23
vol_20,0.011349742530574126,ETHUSDT,24
cos_day,0.009049450408353135,ETHUSDT,25
vol_5,0.005556674379309848,ETHUSDT,26
trend_ratio,0.003185510068180663,ETHUSDT,27
sin_day,0.0027834406491562187,ETHUSDT,28
cos_week,0.0018416558969443348,ETHUSDT,29
ret_ma_50,0.0007170122521201186,ETHUSDT,30
sin_week,0.00025967684460837323,ETHUSDT,31
sma_30,0.40716976614122924,SOLUSDT,1
high,0.37887160771240214,SOLUSDT,2
close,0.2754688286947977,SOLUSDT,3
sma_10,0.27544392900297343,SOLUSDT,4
open,0.21081626596266717,SOLUSDT,5
ema_10,0.20816289924809164,SOLUSDT,6
sma_7,0.16993930802660767,SOLUSDT,7
low,0.15538399323092889,SOLUSDT,8
oc_pct,0.13097775355035068,SOLUSDT,9
ret_ma_5,0.11339844981188164,SOLUSDT,10
log_ret,0.10991267095489592,SOLUSDT,11
mom_diff_5_50,0.07603678531774119,SOLUSDT,12
taker_buy_quote_asset_volume,0.04907931985923035,SOLUSDT,13
volume_ratio,0.03425506444484433,SOLUSDT,14
quote_asset_volume,0.030251190577046144,SOLUSDT,15
taker_buy_base_asset_volume,0.024522497496279445,SOLUSDT,16
vol_10,0.020528928679538823,SOLUSDT,17
ret_ma_20,0.02010665569988832,SOLUSDT,18
ret_ma_50,0.01878047319619443,SOLUSDT,19
volume,0.011677717200056458,SOLUSDT,20
number_of_trades,0.010988830537155,SOLUSDT,21
ret_ma_10,0.00873229323664566,SOLUSDT,22
vol_5,0.008222472421788786,SOLUSDT,23
range_pct,0.008078011290204279,SOLUSDT,24
sin_day,0.005906925548207073,SOLUSDT,25
cos_week,0.0055593544573836855,SOLUSDT,26
vol_20,0.004934409538291777,SOLUSDT,27
cos_day,0.004392866322325324,SOLUSDT,28
sin_week,0.004151859996442677,SOLUSDT,29
vol_50,0.0022022008926384463,SOLUSDT,30
trend_ratio,0.0019752321893098945,SOLUSDT,31
sma_7,1.1731996085095968,XRPUSDT,1
open,1.126580623179834,XRPUSDT,2
ema_10,1.016905845261042,XRPUSDT,3
high,0.9016469264057686,XRPUSDT,4
sma_30,0.7814066395265423,XRPUSDT,5
sma_10,0.3613131826835107,XRPUSDT,6
low,0.2592561360735574,XRPUSDT,7
taker_buy_base_asset_volume,0.11892755712829833,XRPUSDT,8
quote_asset_volume,0.1002126940196101,XRPUSDT,9
volume,0.09691686894839219,XRPUSDT,10
taker_buy_quote_asset_volume,0.0892638511899159,XRPUSDT,11
mom_diff_5_50,0.060524851698785326,XRPUSDT,12
oc_pct,0.058780622825567376,XRPUSDT,13
volume_ratio,0.04186726217065569,XRPUSDT,14
ret_ma_10,0.032443118274673374,XRPUSDT,15
ret_ma_50,0.030394124214905425,XRPUSDT,16
ret_ma_5,0.0290493145813423,XRPUSDT,17
ret_ma_20,0.026970454903300346,XRPUSDT,18
sin_day,0.023450813271433883,XRPUSDT,19
log_ret,0.017847950488262508,XRPUSDT,20
number_of_trades,0.015160118345031354,XRPUSDT,21
vol_20,0.013538751751041429,XRPUSDT,22
vol_10,0.013144041309058722,XRPUSDT,23
vol_5,0.011755639354516435,XRPUSDT,24
cos_day,0.010643238452499199,XRPUSDT,25
cos_week,0.010328445650133772,XRPUSDT,26
sin_week,0.009241309841318789,XRPUSDT,27
trend_ratio,0.009105685762606166,XRPUSDT,28
range_pct,0.00788499176496621,XRPUSDT,29
close,0.0033995330955875237,XRPUSDT,30
vol_50,0.0025651720241514023,XRPUSDT,31
