interval,entity,strategy,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Kelly Criterion
10min,BNBUSDT,buy_and_hold,-0.14380534117882593,-0.07810916638762899,0.23947205683214798,-0.32617236190683274,-0.41731621233162297,-0.3102975750654974,-0.25172341862852704,-0.0037000645674672983
10min,BNBUSDT,long_only,-0.1450690433277102,-0.07882217425047633,0.23947075635505333,-0.3291515651022122,-0.42112562106618145,-0.31029757506549477,-0.2540212382705191,-0.003754425278109208
10min,BNBUSDT,mean_reversion,0.22553835814283896,0.11241858673891558,0.2393757111708756,0.4696323874675274,0.5907466839831402,-0.2856973540667359,0.39348837200870884,0.009587307936365974
10min,BNBUSDT,long_short,-0.14553034792628616,-0.07908257722217893,0.23947106759215842,-0.33023854621496046,-0.42253445654401495,-0.310297575065501,-0.2548604422882948,-0.0037740641336996283
10min,BNBUSDT,trend_following,-0.10617495687807155,-0.0571021764485895,0.14867349408221067,-0.384077718769522,-0.3744682264498806,-0.18334794293428372,-0.3114415986060792,-0.007289853236520372
10min,BTCUSDT,buy_and_hold,0.007892136387080084,0.004126395490645862,0.2290513737768046,0.018015152769468922,0.023685376350870768,-0.3146707582404051,0.01311337447978989,0.0022014713923725338
10min,BTCUSDT,long_only,0.0017177312531060362,0.000899430551976943,0.22902340573522584,0.003927242934360933,0.005162521859882614,-0.31467075824040447,0.0028583226385776508,0.0019683321668345077
10min,BTCUSDT,mean_reversion,-0.16720812834243448,-0.09139595422129476,0.2289487358348542,-0.39919833533049376,-0.4975429855256835,-0.3752872705971041,-0.24353598265104603,-0.005160352263133161
10min,BTCUSDT,long_short,-0.002426394224013917,-0.0012717518974877384,0.22904677382722533,-0.005552367650666178,-0.007298911232010313,-0.3146707582404058,-0.004041531868417626,0.0018110508783446555
10min,BTCUSDT,trend_following,-0.1732704264066508,-0.09486667867079523,0.1508485982559879,-0.6288867100362965,-0.594388149475069,-0.3006173887011782,-0.3155728252469629,-0.0134635333856708
10min,ETHUSDT,buy_and_hold,-0.4576023260614076,-0.27418181131915054,0.3405522364685456,-0.8051094133527289,-1.0212090369838396,-0.6259032275330538,-0.43805783267776977,-0.013310478449635732
10min,ETHUSDT,long_only,-0.45864520231801,-0.2749131721122784,0.34054748336911955,-0.807268253438537,-1.0238969914923912,-0.6259032275330532,-0.43922632128903755,-0.013363396283127105
10min,ETHUSDT,mean_reversion,-0.5356103045693021,-0.33088112643768486,0.34050470986763987,-0.9717372971619221,-1.146242735015324,-0.636040851250475,-0.5202199289356381,-0.01778282380137941
10min,ETHUSDT,long_short,-0.4583818801691313,-0.2747284431259702,0.3405476878422315,-0.8067253219855837,-1.0232089798854205,-0.6259032275330519,-0.4389311814364509,-0.013350922547880617
10min,ETHUSDT,trend_following,-0.33980701323378437,-0.19547728789048413,0.20278534363380024,-0.9639616176772945,-0.9423139562944555,-0.4434201585964883,-0.4408398763583687,-0.023463303446821515
10min,SOLUSDT,buy_and_hold,-0.2259235869908348,-0.1255364808047954,0.4414188521367633,-0.2843931114339921,-0.39765380694048164,-0.6698276741103274,-0.18741608574404509,-0.0013680753594196293
10min,SOLUSDT,long_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10min,SOLUSDT,mean_reversion,-0.4721943156930505,-0.2844767678255631,0.44132575495391607,-0.6445958900705185,-0.8589299765345914,-0.5989344273710357,-0.47497147404640955,-0.008886676694010887
10min,SOLUSDT,long_short,-0.10492762109518217,-0.05641314158983679,0.4414033628861751,-0.12780405935508035,-0.15930767943758395,-0.42779622399016554,-0.13186919011032144,0.0014780573789777707
10min,SOLUSDT,trend_following,-0.0704513272136561,-0.037545937964561626,0.3285609711240352,-0.11427388297555172,-0.10152887784695673,-0.3781831506096746,-0.09927977463838161,0.0011021164597802557
